strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3891085	Klebsiella pneumoniae	strong	35725	413	10205	10234051	no	total_size,N50	ST2096-1LV	0	2	7	9	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL64)	unknown (K64)	?-+	None	99.71%	KL64_01_galF,KL64_03_wzi,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_16_wcaJ,KL64_17_gnd,KL64_19_manB,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd	O1/O2v1	O2a	?-	Good	98.63%	O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	CatB4.v1?	-	-	-	-	dfrA1.v1;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-156?	-	OXA-232?	-	-	OmpK35-36%;OmpK36-19%	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-28.v2?-88%	aadA2?-0%;aph(6)-Id.v2*?-0%;dfrA17?-0%;sul1?-56%	ST2096-1LV	-	6	1	1	1	46	1	110*-82%	100*-82%	-	-	-	-	-	-	41*-0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp2_162*-0%;fyuA_161*-0%;ybtQ_88*-0%;ybtE_105*-0%;ybtA_39*-0%;ybtU_13*-58%;ybtP_75*-0%;ybtU_52*-0%
ERR3891086	Klebsiella pneumoniae	strong	528	151846	326186	5735675	no	-	ST14	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi2	KL2	K2	none	Very high	99.73%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	tetR?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891087	Klebsiella pneumoniae	strong	37520	371	8297	10253124	no	total_size,N50	0	0	0	6	5	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL64)	unknown (K64)	?-+	None	99.44%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_09,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_23_rmlC	unknown (O1/O2v1)	unknown (O1)	?-	None	98.58%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO	aac(6')-Ib-cr.v2;armA	-	-	-	-	-	CatB4.v1?	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	-	-	-	OmpK35-12%;OmpK36-69%	PmrB-9%	ParC-80I	CTX-M-139?-0%;catA1*?-89%	OXA-181?-43%;OXA-232*?-0%;SHV-212?-0%;TEM-168?-77%;aadA25?-48%;aadA2?-0%;dfrA12?-0%;dfrA12?-0%;mphE.v2*?-78%;msrE?-0%;msrE?-0%;sat-2?-0%;sul1?-0%;tet(D)?-0%	0	1	6	-	234*	1	-	-	-	-	-	-	39*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*	-	-	1	-	-	-	-	-	-	-	ybtE_132*-0%;ybtP_101*-0%;ybtS_93*-0%;ybtS_100*-47%;ybtT_4*-0%;ybtU_13*-0%;ybtT_42*-52%;iucC_1*-0%;iucA_1*-0%;iucD_1*-0%;rmpA_55*-60%;rmpA_55*-0%
ERR3891088	Klebsiella pneumoniae	strong	352	144586	376754	5797089	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891089	Klebsiella pneumoniae	strong	451	144525	377768	5717091	no	-	ST2096	1	0	6	6	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	mcr-1.1	-	-	-	-	CatB4.v1?	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	-	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	OXA-232?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891090	Klebsiella pneumoniae	strong	448	134998	377767	5827378	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	OXA-181?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891091	Klebsiella pneumoniae	strong	1268	49622	174354	5858656	no	-	ST110	0	2	9	19	-	0	-	0	-	0	-	0	-	0	-	wzi194	KL108	unknown (KL108)	*	Very high	97.50%		O1/O2v2	O1	none	Very high	98.49%		aac(3)-IIg;aac(6')-IIc;aac(6')-Ib-cr.v2;sat-2;strB.v1	-	-	qnrB9.2^	-	-	CatB4.v1?;catII.2*	-	sul2	tet(A).v1	-	dfrA1.v1;dfrA14.v2*;dfrA30*	DHA-1*;OXA-1;TEM-1D.v1^	-	CTX-M-15;SHV-12	-	OXA-48	-	238S;240K;35Q	OmpK36-0%	-	-	ereA2*?-0%;strA.v1*?-0%	sul1*?-68%;sul1?-0%	ST110	2	6	1	3	8	1	44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtT_42*-0%
ERR3891092	Klebsiella pneumoniae	strong	607	181357	470176	5829009	no	-	ST101	1	3	10	11	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	?	Good	100.00%		O1/O2v1	O1	?-	Good	98.03%	O1/O2v1_06_wbbO	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2	-	-	qnrS1	-	-	CatB4.v1?	-	sul1	tet(D)	-	dfrA14.v2*;dfrA5	OXA-1	-	CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	MgrB-81%	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891093	Klebsiella pneumoniae	strong	354	163074	521086	5780090	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891094	Klebsiella pneumoniae	strong	338	172808	447179	5801107	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	strA.v1?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891095	Klebsiella pneumoniae	strong	288	174620	575026	5507973	no	-	ST2096	1	2	5	5	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;sat-2	-	-	-	-	-	-	-	-	-	-	dfrA1.v1	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-81%	OXA-181?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891096	Klebsiella pneumoniae	strong	440	225961	475757	5694061	no	-	ST101	1	2	8	12	ybt 9; ICEKp3	172-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.03%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strB.v1	-	-	qnrB1.v1	-	-	CatB4.v1?;catII.2*	-	sul2	-	-	dfrA14.v2*	OXA-1	-	CTX-M-14^;CTX-M-15	-	OXA-48	SHV-1^	-	-	-	GyrA-83Y;GyrA-87A;ParC-80I	strA.v1*?-0%	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	78	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891097	Klebsiella pneumoniae	strong	281	146605	521086	5676988	no	-	ST2096	1	3	10	13	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK36GD	MgrB-62%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891098	Klebsiella pneumoniae	strong	17487	1070	10727	7681889	no	total_size,N50	ST340-1LV	0	3	6	6	-	0	-	0	-	0	-	0	-	0	-	wzi50	unknown (KL15)	unknown (K15)	?-+	None	99.22%	KL15_01_galF,KL15_02_cpsACP,KL15_03_wzi,KL15_08_wceN,KL15_09_wceM,KL15_12_wzy,KL15_13_wckI,KL15_15_gnd,KL15_16_ugd	O4	O4	?-	Good	99.63%	O4_03_hypothetical,O4_06_glycosyltransferase	aac(6')-Ib-cr.v2;aph(3')-VIb*;aph3-Ia.v1^	-	-	-	-	-	-	-	sul1	-	-	dfrA12	-	-	-	-	OXA-48	-	-	OmpK35-13%;OmpK36-34%	MgrB-4%	GyrA-83I;ParC-80I	CTX-M-9*?-0%;aadA2*?-0%	SHV-107?-0%;aph(6)-Id.v2?-0%;catA1*?-0%;dfrA1.v1?-72%;mphA?-0%;mphA?-54%;strA.v1?-60%;tet(A).v1?-0%;tet(A).v1?-57%	ST340-1LV	92*	3	1	1	1	1	18	6	-	20	-	-	-	-	2*-0%	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	irp2_220*-0%;fyuA_75*-68%;ybtA_71*-0%;ybtE_132*-0%;ybtP_134*-0%;ybtA_39*-50%;ybtX_100*-0%;ybtX_1*-0%
ERR3891099	Klebsiella pneumoniae	strong	355	170272	366847	5680538	no	-	ST23	5	0	0	0	ybt 1; ICEKp10	53	clb 2	29	iuc 1	1	iro 1	2-1LV	rmp 1; KpVP-1	26-1LV	rmpA2_6-60%	wzi1	KL1	K1	none	Very high	99.99%		O1/O2v2	O1	none	Very high	99.10%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11.v1^	35Q	-	-	-	-	dfrA1.v1?-0%	ST23	2	1	1	1	9	4	12	2	2	2	2	2	6	124	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	1	1	1	1	4	1*	1	2	52	2	-
ERR3891100	Klebsiella pneumoniae	strong	291	146606	521086	5784569	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	sul2?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891101	Klebsiella pneumoniae	strong	28537	556	8846	9185131	no	total_size,N50	ST14-3LV	0	1	8	10	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	wzi64	unknown (KL64)	unknown (K64)	?-+	None	98.78%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_13_wcsF,KL64_17_gnd,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC	O1/O2v1	O2a	?-	Good	98.60%	O1/O2v1_03_wbbM,O1/O2v1_04_glf	aac(6')-Ib-cr.v2;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1?	-	-	dfrA1.v1;dfrA12	-	-	CTX-M-15	-	-	-	-	OmpK35-14%;OmpK36-46%	PmrB-9%	GyrA-83Y;GyrA-87G;ParC-80I	SHV-28.v2?-84%	OXA-181?-0%;OXA-1?-63%;OXA-232?-0%;aadA2?-0%;aadA8b?-63%;catA1?-69%	ST14-3LV	-	6	1	1	1	-	-	4*-0%	100*-89%	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55-60%	-	-	fyuA_161*-0%;ybtQ_158*-0%;ybtE_132*-0%;ybtU_13*-0%;iutA_1*-0%;iucC_1*-0%;iucD_1*-0%;iucA_1*-65%;iucB_1*-63%;iucB_1*-0%
ERR3891102	Klebsiella pneumoniae	strong	37026	395	7121	10197914	no	total_size,N50	ST2096-3LV	0	3	7	7	-	0	-	0	-	0	-	0	-	0	-	wzi64	unknown (KL64)	unknown (K64)	?-+	None	98.49%	KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_07_wzx,KL64_14_wcuK,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_24_ugd	O1/O2v1	O2a	?-	Good	98.64%	O1/O2v1_01_wzm,O1/O2v1_05_wbbN	armA?;sat-2	-	-	-	-	mphE.v2^	CatB4.v1?	-	-	-	-	dfrA12?;dfrA14.v2*	-	-	-	-	OXA-232	-	-	OmpK35-64%;OmpK36-27%	PmrB-61%	GyrA-83Y;GyrA-87G;ParC-80I	SHV-106*?-0%;aac(6')-Ib-cr.v1*?-0%;dfrA1.v1?-0%;msrE?-89%	OXA-1?-57%;TEM-105?-0%;aadA25?-49%;aadA2?-0%;sul1?-0%	ST2096-3LV	1*	6*	1	1	-	46	1	-	-	-	-	1	-	-	-	41*-0%	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1*-84%	-	-	-	-	-	-	-	-	irp2_228*-0%;fyuA_161*-0%;ybtP_112*-0%;ybtS_93*-0%;iutA_1*-0%;iucA_1*-58%;iucB_1*-0%;rmpA_55*-60%;rmpA_55*-0%
ERR3891103	Klebsiella pneumoniae	strong	813	161840	359403	6016636	no	-	ST2096	4	2	10	17	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891104	Klebsiella pneumoniae	strong	437	157595	428622	5823456	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891105	Klebsiella pneumoniae	strong	302	144799	376754	5785718	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891106	Klebsiella pneumoniae	strong	1514	171466	389816	5616763	no	-	ST10-2LV	0	2	4	4	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.10%		O1/O2v1	O2a	none	Very high	98.50%		-	-	-	qnrB4	-	-	-	-	-	-	-	dfrA14.v2*	DHA-1	-	-	-	OXA-232	SHV-1	-	-	-	-	-	aac(6')-Ib-cr.v1*?-0%;aph(3')-VI*?-0%;sul1*?-0%;sul1?-44%	ST10-2LV	4	1	99	1	1	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtT_42*-52%
ERR3891107	Klebsiella pneumoniae	strong	701	186977	389724	5796847	no	-	ST101	1	3	9	12	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.03%		aac(6')-Ib'.v1;aadA*;aph(3')-VI	-	-	qnrS1	-	mphA	-	-	-	tet(D)	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	MgrB-0%	GyrA-83Y;GyrA-87N;ParC-80I	-	sul1?-0%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rmpA_55*-0%
ERR3891108	Klebsiella pneumoniae	strong	322	157339	377767	5785016	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891109	Klebsiella pneumoniae	strong	649	144525	376754	5866576	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891110	Klebsiella pneumoniae	strong	626	169112	295725	5743890	no	-	ST147	1	2	8	11	ybt 9; ICEKp3	173-2LV	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O2a	none	Very high	98.64%		aadA*;aph(3')-VI	-	-	qnrS1	-	-	catB3.v2	arr-3	sul1	-	-	-	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1^	35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	aac(6')-Ib-cr.v2?-0%	OXA-181?-70%;strA.v1?-0%	ST147	3	4	6	1	7	4	38	5	11	6	5	1	293	318	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891111	Klebsiella pneumoniae	strong	25253	646	9944	8755200	no	total_size,N50	0	0	0	6	7	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-	None	99.11%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_08_wcoV,KL64_12_wcoT,KL64_15_wbaZ,KL64_19_manB,KL64_21_rmlA,KL64_22_rmlD	O1/O2v1	O1	none	Very high	98.64%		armA*;sat-2?	-	-	-	-	mphE.v2^	-	-	-	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	-	-	-	-	-	OmpK36-75%	PmrB-23%	GyrA-83Y;GyrA-87G;ParC-80I	aac(6')-Ib-cr.v2?-87%;aadA2*?-0%	CatB4.v1?-0%;OXA-181?-0%;SHV-106?-73%;msrE?-78%;sul1?-0%	0	1*	6	1	234*	-	184*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	55-60%	-	-	ybtP_112*-0%;fyuA_161*-0%;ybtE_132*-0%;ybtS_100*-59%;ybtU_52*-0%;ybtE_101*-49%;ybtQ_158*-0%;ybtT_4*-0%;ybtQ_1*-0%;ybtX_100*-0%;ybtU_13*-48%;ybtS_93*-0%;ybtT_42*-48%;ybtA_71*-0%;iutA_1*-70%;iucB_1*-55%
